px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-4.97006	1.18833	5.33839	4.30183	-0.0984598	-4.66779	1.28643	-4.86066	1.25049	-1.99007	-4.7799	5.42568
-5.06009	0.987432	5.19255	4.29745	-0.0952998	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468	1.17425
-5.11636	0.768537	5.08731	4.3025	-0.0889029	-4.85498	0.825661	-5.06277	0.77393	-2.05174	-4.74848	3.7947
-5.21672	0.452236	5.32143	4.31159	-0.0740345	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127	5.48064
-5.28983	0.218348	5.25997	4.31421	-0.0694859	-5.1231	0.257311	-5.27133	0.300706	-2.11906	-4.71303	1.55107
-5.39871	-0.00766896	5.17178	4.31498	-0.0490958	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374	5.80765
-5.46753	-0.239664	5.12575	4.32005	-0.0424413	-5.29972	-0.212982	-5.4869	-0.168772	-2.1918	-4.67335	1.52371
-5.58656	-0.405231	5.00965	4.28895	-0.0916672	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185	3.32894
-5.72023	-0.579402	4.91283	4.26128	-0.123832	-5.85359	-0.445801	-5.71001	-0.634069	-2.26974	-4.62919	2.08431
-5.83658	-0.819884	5.09822	4.24267	-0.160213	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536	5.55177
-5.93469	-1.10593	5.21449	4.25668	-0.127586	-5.87835	-1.26863	-5.94118	-1.09472	-2.35262	-4.58032	1.79121
-6.0233	-1.3859	5.28901	4.27234	-0.0956382	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404	2.8805
-6.16307	-1.59067	5.23683	4.24923	-0.120987	-6.27263	-1.50938	-6.18087	-1.55025	-2.44014	-4.52648	1.08119
-6.30555	-1.84265	5.45697	4.22628	-0.161276	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762	3.10479
-6.41515	-2.10087	5.4796	4.22938	-0.146089	-6.34007	-2.13685	-6.42954	-2.00014	-2.532	-4.46742	0.397988
-6.56479	-2.29691	5.34439	4.20547	-0.164259	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585	3.47365
-6.71663	-2.50312	5.30651	4.18217	-0.185192	-6.79288	-2.4458	-6.68761	-2.44386	-2.62788	-4.40288	0.545461
-6.87199	-2.71524	5.29872	4.16081	-0.202219	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847	1.09239
-6.9643	-2.99392	5.36527	4.18289	-0.157923	-6.8003	-3.10086	-6.95546	-2.88084	-2.7274	-4.3326	2.30445
-7.09221	-3.21446	5.27214	4.17829	-0.148793	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523	0.373869
-7.21708	-3.39933	5.18688	4.16087	-0.165105	-7.12118	-3.26434	-7.23344	-3.3105	-2.83017	-4.25632	1.50856
-7.36292	-3.65398	5.25269	4.16082	-0.151345	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586	4.36862
-7.52291	-3.77325	5.08324	4.11271	-0.21018	-7.49009	-3.49081	-7.52184	-3.73223	-2.93579	-4.1738	4.86317
-7.66822	-3.98277	5.13284	4.10006	-0.215872	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012	0.503021
